Class,Peak,Method,Mean_X_Error,Mean_Y_Error,Mean_XY_Error,Min_XY_Error,Peak_Count,Num_Signals_in_Class,Num_Signals_with_Peak
Class1,P1,wavelet,1.705,0.02002917337898341,1.70512719111166,1.5834438048971702,1.1933333333333334,300.0,300.0
Class1,P2,wavelet,3.673758865248227,0.02029608296319371,3.6738426805692783,3.6100106958434766,1.06,300.0,282.0
Class1,P3,wavelet,5.607185990338164,0.02932330540835243,5.607291994171882,5.083431973811485,1.22,300.0,276.0
Class2,P1,wavelet,2.8961111111111113,0.04262932144710741,2.8964442528242036,2.7536407459190064,1.21,300.0,300.0
Class2,P2,wavelet,3.1603535353535355,0.01371562739800538,3.160395774732277,2.8333740436209887,0.7933333333333333,300.0,198.0
Class2,P3,wavelet,10.824074074074073,0.07578253406310842,10.82438616355111,10.596267022567167,0.8233333333333334,300.0,198.0
Class3,P1,wavelet,1.71,0.02710577063379343,1.7102292222672195,1.616876171859278,1.1866666666666668,300.0,300.0
Class3,P2,wavelet,3.00938566552901,0.011836864675772794,3.009422245214066,2.5051540821699403,1.1766666666666667,300.0,293.0
Class3,P3,wavelet,9.292441140024783,0.06956194524793924,9.292752854357492,8.94825719090495,1.1466666666666667,300.0,269.0
Class4,P1,wavelet,,,,,1.0,100.0,59.0
Class4,P2,wavelet,65.01633986928105,0.5780457885214215,65.01895916145459,63.84572220535485,0.61,100.0,51.0
Class4,P3,wavelet,,,,,0.31,100.0,24.0
