Class,Peak,File,Mean_X_Error,Mean_Y_Error,Mean_XY_Error,Min_XY_Error,TP,FP,FN,Peak_Count,Reference_Peaks,Detected_Peaks,%_Signals_with_Peak,Method
Class1,P1,Class1_it2_example_0001,4.0,0.03230178041692999,4.000130423500977,4.000130423500977,0.0,1.0,1,1,39,[35],0.748,line_distance_3
Class1,P1,Class1_it2_example_0002,5.0,0.03830034776081459,5.0001466895120785,5.0001466895120785,0.0,1.0,1,1,40,[35],0.748,line_distance_3
Class1,P1,Class1_it2_example_0003,6.0,0.04885560921013554,6.000198902582421,6.000198902582421,0.0,1.0,1,1,40,[34],0.748,line_distance_3
Class1,P1,Class1_it2_example_0004,6.0,0.039951918619565374,6.00013301150911,6.00013301150911,0.0,1.0,1,1,42,[36],0.748,line_distance_3
Class1,P1,Class1_it2_example_0005,5.0,0.03223736069949923,5.000103923662475,5.000103923662475,0.0,1.0,1,1,39,[34],0.748,line_distance_3
Class1,P1,Class1_it2_example_0006,5.0,0.029936823856521633,5.000089620539078,5.000089620539078,0.0,1.0,1,1,41,[36],0.748,line_distance_3
Class1,P1,Class1_it2_example_0007,6.0,0.04404112764728241,6.000161632899938,6.000161632899938,0.0,1.0,1,1,42,[36],0.748,line_distance_3
Class1,P1,Class1_it2_example_0008,4.0,0.03320751262114363,4.000137839986828,4.000137839986828,0.0,1.0,1,1,38,[34],0.748,line_distance_3
Class1,P1,Class1_it2_example_0009,5.0,0.03561013110010036,5.0001268065357065,5.0001268065357065,0.0,1.0,1,1,38,[33],0.748,line_distance_3
Class1,P1,Class1_it2_example_0010,5.0,0.03795909598738778,5.000144087220705,5.000144087220705,0.0,1.0,1,1,41,[36],0.748,line_distance_3
Class1,P1,Class1_it2_example_0011,4.0,0.028233694460011227,4.0000996414468055,4.0000996414468055,0.0,1.0,1,1,35,[31],0.748,line_distance_3
Class1,P1,Class1_it2_example_0012,6.0,0.04452854263682238,6.000165230317359,6.000165230317359,0.0,1.0,1,1,36,[30],0.748,line_distance_3
Class1,P1,Class1_it2_example_0013,5.0,0.03447937299484782,5.000118881302935,5.000118881302935,0.0,1.0,1,1,36,[31],0.748,line_distance_3
Class1,P1,Class1_it2_example_0014,6.0,0.03719335017600556,6.000115277667365,6.000115277667365,0.0,1.0,1,1,41,[35],0.748,line_distance_3
Class1,P1,Class1_it2_example_0015,,,,,,,1,0,23,[],0.748,line_distance_3
Class1,P1,Class1_it2_example_0016,3.0,0.018281397154547796,3.0000557010632187,3.0000557010632187,1.0,0.0,0,1,29,[26],0.748,line_distance_3
Class1,P1,Class1_it2_example_0017,0.0,0.0,0.0,0.0,1.0,0.0,0,1,27,[27],0.748,line_distance_3
Class1,P1,Class1_it2_example_0018,0.0,0.0,0.0,0.0,1.0,0.0,0,1,28,[28],0.748,line_distance_3
Class1,P1,Class1_it2_example_0019,2.0,0.023259815538758,2.0001352501815712,2.0001352501815712,1.0,0.0,0,1,28,[26],0.748,line_distance_3
Class1,P1,Class1_it2_example_0020,3.0,0.007042894110978137,3.0000082670481856,3.0000082670481856,1.0,0.0,0,1,37,[34],0.748,line_distance_3
Class1,P1,Class1_it2_example_0021,2.0,0.01928550121693262,2.000092980477955,2.000092980477955,1.0,0.0,0,1,37,[35],0.748,line_distance_3
Class1,P1,Class1_it2_example_0022,1.0,0.002346094630056972,1.0000027520762196,1.0000027520762196,1.0,0.0,0,1,41,[40],0.748,line_distance_3
Class1,P1,Class1_it2_example_0023,8.0,0.05188988224925317,8.000168283222537,8.000168283222537,0.0,1.0,1,1,45,[37],0.748,line_distance_3
Class1,P1,Class1_it2_example_0024,3.0,0.012171583130310193,3.0000246911377078,3.0000246911377078,1.0,0.0,0,1,46,[43],0.748,line_distance_3
Class1,P1,Class1_it2_example_0025,,,,,,,1,0,43,[],0.748,line_distance_3
Class1,P1,Class1_it2_example_0026,2.0,0.00918466999669354,2.0000210894295463,2.0000210894295463,1.0,0.0,0,1,41,[39],0.748,line_distance_3
Class1,P1,Class1_it2_example_0027,2.0,0.006638550478262117,2.0000110175577666,2.0000110175577666,1.0,0.0,0,1,44,[42],0.748,line_distance_3
Class1,P1,Class1_it2_example_0028,3.0,0.016760865620456422,3.000046820737361,3.000046820737361,1.0,0.0,0,1,45,[42],0.748,line_distance_3
Class1,P1,Class1_it2_example_0029,3.0,0.029362550870703386,3.0001436897911464,3.0001436897911464,1.0,0.0,0,1,58,[55],0.748,line_distance_3
Class1,P1,Class1_it2_example_0030,1.0,0.006646601125328777,1.0000220884093107,1.0000220884093107,1.0,0.0,0,1,28,[27],0.748,line_distance_3
Class1,P1,Class1_it2_example_0031,,,,,,,1,0,27,[],0.748,line_distance_3
Class1,P1,Class1_it2_example_0032,,,,,,,1,0,34,[],0.748,line_distance_3
Class1,P1,Class1_it2_example_0033,5.0,0.02123466530190865,5.000045090897729,5.000045090897729,0.0,1.0,1,1,34,[29],0.748,line_distance_3
Class1,P1,Class1_it2_example_0034,3.0,0.026528255973084836,3.0001172891013734,3.0001172891013734,1.0,0.0,0,1,31,[28],0.748,line_distance_3
Class1,P1,Class1_it2_example_0035,3.0,0.020315876280695533,3.0000687883495356,3.0000687883495356,1.0,0.0,0,1,39,[36],0.748,line_distance_3
Class1,P1,Class1_it2_example_0036,3.0,0.03181298628472118,3.000168672940965,3.000168672940965,1.0,0.0,0,1,40,[37],0.748,line_distance_3
Class1,P1,Class1_it2_example_0037,2.0,0.007686698472536224,2.000014771278804,2.000014771278804,1.0,0.0,0,1,39,[37],0.748,line_distance_3
Class1,P1,Class1_it2_example_0038,,,,,,,1,0,38,[],0.748,line_distance_3
Class1,P1,Class1_it2_example_0039,,,,,,,1,0,29,[],0.748,line_distance_3
Class1,P1,Class1_it2_example_0040,1.0,0.006337912981647986,1.0000200843687905,1.0000200843687905,1.0,0.0,0,1,29,[28],0.748,line_distance_3
Class1,P1,Class1_it2_example_0041,2.0,0.013628376334759995,2.0000464326213834,2.0000464326213834,1.0,0.0,0,1,33,[31],0.748,line_distance_3
Class1,P1,Class1_it2_example_0042,2.0,0.032201966985568986,2.0002592248700517,2.0002592248700517,1.0,0.0,0,1,43,[41],0.748,line_distance_3
Class1,P1,Class1_it2_example_0043,4.0,0.029149315104292417,4.0001062089113395,4.0001062089113395,0.0,1.0,1,1,35,[31],0.748,line_distance_3
Class1,P1,Class1_it2_example_0044,2.0,0.01697241506318037,2.00007201442175,2.00007201442175,1.0,0.0,0,1,28,[26],0.748,line_distance_3
Class1,P1,Class1_it2_example_0045,2.0,0.018627777260831757,2.000086746640175,2.000086746640175,1.0,0.0,0,1,30,[28],0.748,line_distance_3
Class1,P1,Class1_it2_example_0046,2.0,0.011681508851264177,2.000034114121317,2.000034114121317,1.0,0.0,0,1,29,[27],0.748,line_distance_3
Class1,P1,Class1_it2_example_0047,3.0,0.027129745300439767,3.000122668005438,3.000122668005438,1.0,0.0,0,1,29,[26],0.748,line_distance_3
Class1,P1,Class1_it2_example_0048,1.0,0.00490776360194356,1.0000120429992694,1.0000120429992694,1.0,0.0,0,1,30,[29],0.748,line_distance_3
Class1,P1,Class1_it2_example_0049,2.0,0.01354886121933696,2.0000458923835573,2.0000458923835573,1.0,0.0,0,1,30,[28],0.748,line_distance_3
Class1,P1,Class1_it2_example_0050,2.0,0.007319053521405272,2.000013392091275,2.000013392091275,1.0,0.0,0,1,61,[59],0.748,line_distance_3
Class1,P1,Class1_it2_example_0051,,,,,,,1,0,30,[],0.748,line_distance_3
Class1,P1,Class1_it2_example_0052,3.0,0.017564554194029136,3.0000514184866955,3.0000514184866955,1.0,0.0,0,1,37,[34],0.748,line_distance_3
Class1,P1,Class1_it2_example_0053,5.0,0.03689001766291322,5.000136085488391,5.000136085488391,0.0,1.0,1,1,36,[31],0.748,line_distance_3
Class1,P1,Class1_it2_example_0054,3.0,0.026162279691260726,3.0001140753109112,3.0001140753109112,1.0,0.0,0,1,35,[32],0.748,line_distance_3
Class1,P1,Class1_it2_example_0055,2.0,0.011681799711262042,2.000034115820151,2.000034115820151,1.0,0.0,0,1,67,[65],0.748,line_distance_3
Class1,P1,Class1_it2_example_0056,1.0,0.005232531714470023,1.0000136896003688,1.0000136896003688,1.0,0.0,0,1,30,[29],0.748,line_distance_3
Class1,P1,Class1_it2_example_0057,3.0,0.019771849691405996,3.0000651536325376,3.0000651536325376,1.0,0.0,0,1,33,[30],0.748,line_distance_3
Class1,P1,Class1_it2_example_0058,6.0,0.053059086864175264,6.00023460097177,6.00023460097177,0.0,1.0,1,1,45,[39],0.748,line_distance_3
Class1,P1,Class1_it2_example_0059,3.0,0.02058580028741641,3.0000706283641847,3.0000706283641847,1.0,0.0,0,1,33,[30],0.748,line_distance_3
Class1,P1,Class1_it2_example_0060,0.0,0.0,0.0,0.0,1.0,0.0,0,1,28,[28],0.748,line_distance_3
Class1,P1,Class1_it2_example_0061,3.0,0.0222280996634856,3.0000823469389384,3.0000823469389384,1.0,0.0,0,1,41,[38],0.748,line_distance_3
Class1,P1,Class1_it2_example_0062,3.0,0.02760170750665636,3.0001269730225224,3.0001269730225224,1.0,0.0,0,1,31,[28],0.748,line_distance_3
Class1,P1,Class1_it2_example_0063,3.0,0.027598121091802152,3.0001269400290047,3.0001269400290047,1.0,0.0,0,1,46,[43],0.748,line_distance_3
Class1,P1,Class1_it2_example_0064,3.0,0.011551509596221199,3.0000222394798928,3.0000222394798928,1.0,0.0,0,1,40,[37],0.748,line_distance_3
Class1,P1,Class1_it2_example_0065,2.0,0.011101528463553167,2.0000308107462312,2.0000308107462312,1.0,0.0,0,1,42,[40],0.748,line_distance_3
Class1,P1,Class1_it2_example_0066,,,,,,,1,0,42,[],0.748,line_distance_3
Class1,P1,Class1_it2_example_0067,4.0,0.013753078293227583,4.0000236433254415,4.0000236433254415,0.0,1.0,1,1,43,[39],0.748,line_distance_3
Class1,P1,Class1_it2_example_0068,,,,,,,1,0,22,[],0.748,line_distance_3
Class1,P1,Class1_it2_example_0069,1.0,0.004900542426510501,1.000012007585946,1.000012007585946,1.0,0.0,0,1,24,[23],0.748,line_distance_3
Class1,P1,Class1_it2_example_0070,3.0,0.01844165253056196,3.0000566818892036,3.0000566818892036,1.0,0.0,0,1,33,[30],0.748,line_distance_3
Class1,P1,Class1_it2_example_0071,,,,,,,1,0,24,[],0.748,line_distance_3
Class1,P1,Class1_it2_example_0072,,,,,,,1,0,25,[],0.748,line_distance_3
Class1,P1,Class1_it2_example_0073,,,,,,,1,0,25,[],0.748,line_distance_3
Class1,P1,Class1_it2_example_0074,1.0,0.0053244304495904116,1.0000141746793454,1.0000141746793454,1.0,0.0,0,1,31,[30],0.748,line_distance_3
Class1,P1,Class1_it2_example_0075,2.0,0.004614628721624436,2.0000053236924744,2.0000053236924744,1.0,0.0,0,1,38,[36],0.748,line_distance_3
Class1,P1,Class1_it2_example_0076,,,,,,,1,0,27,[],0.748,line_distance_3
Class1,P1,Class1_it2_example_0077,1.0,0.003849918141929143,1.000007410907389,1.000007410907389,1.0,0.0,0,1,32,[31],0.748,line_distance_3
Class1,P1,Class1_it2_example_0078,,,,,,,1,0,31,[],0.748,line_distance_3
Class1,P1,Class1_it2_example_0079,2.0,0.012045688597893567,2.0000362743244926,2.0000362743244926,1.0,0.0,0,1,36,[34],0.748,line_distance_3
Class1,P1,Class1_it2_example_0080,1.0,0.006524039500136802,1.0000212813192524,1.0000212813192524,1.0,0.0,0,1,37,[36],0.748,line_distance_3
Class1,P1,Class1_it2_example_0081,,,,,,,1,0,28,[],0.748,line_distance_3
Class1,P1,Class1_it2_example_0082,3.0,0.014304399271797053,3.000034102445925,3.000034102445925,1.0,0.0,0,1,37,[34],0.748,line_distance_3
Class1,P1,Class1_it2_example_0083,,,,,,,1,0,26,[],0.748,line_distance_3
Class1,P1,Class1_it2_example_0084,1.0,0.004426892222932355,1.0000097986393701,1.0000097986393701,1.0,0.0,0,1,33,[32],0.748,line_distance_3
Class1,P1,Class1_it2_example_0085,,,,,,,1,0,24,[],0.748,line_distance_3
Class1,P1,Class1_it2_example_0086,,,,,,,1,0,32,[],0.748,line_distance_3
Class1,P1,Class1_it2_example_0087,,,,,,,1,0,29,[],0.748,line_distance_3
Class1,P1,Class1_it2_example_0088,,,,,,,1,0,31,[],0.748,line_distance_3
Class1,P1,Class1_it2_example_0089,,,,,,,1,0,29,[],0.748,line_distance_3
Class1,P1,Class1_it2_example_0090,,,,,,,1,0,33,[],0.748,line_distance_3
Class1,P1,Class1_it2_example_0091,,,,,,,1,0,32,[],0.748,line_distance_3
Class1,P1,Class1_it2_example_0092,,,,,,,1,0,31,[],0.748,line_distance_3
Class1,P1,Class1_it2_example_0093,1.0,0.003263722314120421,1.000005325927489,1.000005325927489,1.0,0.0,0,1,31,[30],0.748,line_distance_3
Class1,P1,Class1_it2_example_0094,,,,,,,1,0,35,[],0.748,line_distance_3
Class1,P1,Class1_it2_example_0095,,,,,,,1,0,35,[],0.748,line_distance_3
Class1,P1,Class1_it2_example_0096,1.0,0.0007369021591854263,1.0000002715123593,1.0000002715123593,1.0,0.0,0,1,35,[34],0.748,line_distance_3
Class1,P1,Class1_it2_example_0097,1.0,0.004397741046939796,1.0000096700164034,1.0000096700164034,1.0,0.0,0,1,33,[32],0.748,line_distance_3
Class1,P1,Class1_it2_example_0098,3.0,0.01352121676995377,3.000030470395749,3.000030470395749,1.0,0.0,0,1,37,[34],0.748,line_distance_3
Class1,P1,Class1_it2_example_0099,2.0,0.014835485818032734,2.000055022153005,2.000055022153005,1.0,0.0,0,1,35,[33],0.748,line_distance_3
Class1,P1,Class1_it2_example_0100,1.0,0.0018903825973831667,1.000001786771586,1.000001786771586,1.0,0.0,0,1,28,[27],0.748,line_distance_3
