Class,Peak,Method,Mean_X_Error,Mean_Y_Error,Mean_XY_Error,Min_XY_Error,Peak_Count,Num_Signals_in_Class,Num_Signals_with_Peak
Class1,P1,concave,43.24843253968254,0.4271692422066884,43.25240870598268,0.2000002119000199,4.343333333333334,300.0,300.0
Class1,P2,concave,41.07412566137566,0.3054783813456172,41.07559499495438,10.78389250246399,4.343333333333334,300.0,300.0
Class1,P3,concave,48.24205158730159,0.2740238084267621,48.2429629111904,1.2366778898469304,4.343333333333334,300.0,300.0
Class2,P1,concave,32.13214682539682,0.2694003051753544,32.13527437688312,2.023419467930449,3.973333333333333,300.0,300.0
Class2,P2,concave,29.922615079365077,0.2782350018352771,29.924541594118764,1.4933369461692423,3.973333333333333,300.0,300.0
Class2,P3,concave,44.185964285714284,0.2709311685315972,44.18706348772076,6.450237618340467,3.973333333333333,300.0,300.0
Class3,P1,concave,36.756301587301586,0.3467587632520295,36.75891309987883,12.559208661627137,3.38,300.0,300.0
Class3,P2,concave,26.43014814814815,0.2844159250097692,26.432148485833217,0.6266710521166546,3.38,300.0,300.0
Class3,P3,concave,34.5100291005291,0.2676068224523807,34.51129172292975,2.9233976431730193,3.38,300.0,300.0
Class4,P1,concave,,,,,1.63,100.0,100.0
Class4,P2,concave,13.648333333333333,0.1921004072339539,13.64984055629855,0.1400001798576319,1.63,100.0,100.0
Class4,P3,concave,,,,,1.63,100.0,100.0
