Class,Peak,File,Mean_X_Error,Mean_Y_Error,Mean_XY_Error,Min_XY_Error,TP,FP,FN,Peak_Count,Reference_Peaks,Detected_Peaks,%_Signals_with_Peak,Method
Class1,P1,Class1_example_0001,2.0,0.010955322194961425,2.0000300045460304,2.0000300045460304,1.0,0.0,0.0,1,31,[33],0.9966666666666667,concave
Class1,P1,Class1_example_0002,2.0,0.007216782392705623,2.000013020444643,2.000013020444643,1.0,0.0,0.0,1,31,[33],0.9966666666666667,concave
Class1,P1,Class1_example_0003,1.0,0.0031862988123420033,1.0000050762371766,1.0000050762371766,1.0,0.0,0.0,1,33,[34],0.9966666666666667,concave
Class1,P1,Class1_example_0004,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1,38,[38],0.9966666666666667,concave
Class1,P1,Class1_example_0005,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1,38,[38],0.9966666666666667,concave
Class1,P1,Class1_example_0006,2.0,0.013600104729734719,2.0000462401776264,2.0000462401776264,1.0,0.0,0.0,1,25,[27],0.9966666666666667,concave
Class1,P1,Class1_example_0007,1.0,0.004793720056467388,1.000011489809982,1.000011489809982,1.0,0.0,0.0,1,31,[32],0.9966666666666667,concave
Class1,P1,Class1_example_0008,1.0,0.002826161318490117,1.0000039935859246,1.0000039935859246,1.0,0.0,0.0,1,31,[32],0.9966666666666667,concave
Class1,P1,Class1_example_0009,1.0,0.0025719255637713934,1.0000033073950834,1.0000033073950834,1.0,0.0,0.0,1,37,[38],0.9966666666666667,concave
Class1,P1,Class1_example_0010,2.0,0.012731270239089598,2.0000405208999896,2.0000405208999896,1.0,0.0,0.0,1,29,[31],0.9966666666666667,concave
Class1,P1,Class1_example_0011,3.0,0.025228339274635636,3.0001060763083953,3.0001060763083953,1.0,0.0,0.0,1,28,[31],0.9966666666666667,concave
Class1,P1,Class1_example_0012,1.0,0.004736703806051068,1.00001121811855,1.00001121811855,1.0,0.0,0.0,1,29,[30],0.9966666666666667,concave
Class1,P1,Class1_example_0013,,,,,,,1.0,0,38,[],0.9966666666666667,concave
Class1,P1,Class1_example_0014,1.0,0.0003364186979251116,1.0000000565887686,1.0000000565887686,1.0,0.0,0.0,1,35,[36],0.9966666666666667,concave
Class1,P1,Class1_example_0015,1.0,0.0023587083081302307,1.0000027817485724,1.0000027817485724,1.0,0.0,0.0,1,32,[33],0.9966666666666667,concave
Class1,P1,Class1_example_0016,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1,33,[33],0.9966666666666667,concave
Class1,P1,Class1_example_0017,1.0,0.006694049548310987,1.0000224048986879,1.0000224048986879,1.0,0.0,0.0,1,32,[33],0.9966666666666667,concave
Class1,P1,Class1_example_0018,1.0,0.005196272623895104,1.0000135005334587,1.0000135005334587,1.0,0.0,0.0,1,30,[31],0.9966666666666667,concave
Class1,P1,Class1_example_0019,3.0,0.02932564900685042,3.0001433288577517,3.0001433288577517,1.0,0.0,0.0,1,25,[28],0.9966666666666667,concave
Class1,P1,Class1_example_0020,4.0,0.0409598968032826,4.000209708646053,4.000209708646053,0.0,1.0,1.0,1,21,[25],0.9966666666666667,concave
Class1,P1,Class1_example_0021,3.0,0.03189761706715688,3.000169571536676,3.000169571536676,1.0,0.0,0.0,1,21,[24],0.9966666666666667,concave
Class1,P1,Class1_example_0022,3.0,0.025197765378186743,3.000105819363719,3.000105819363719,1.0,0.0,0.0,1,22,[25],0.9966666666666667,concave
Class1,P1,Class1_example_0023,1.0,0.004138754960827606,1.0000085646096366,1.0000085646096366,1.0,0.0,0.0,1,37,[38],0.9966666666666667,concave
Class1,P1,Class1_example_0024,1.0,0.0022527946593055015,1.000002537538669,1.000002537538669,1.0,0.0,0.0,1,44,[45],0.9966666666666667,concave
Class1,P1,Class1_example_0025,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1,38,[38],0.9966666666666667,concave
Class1,P1,Class1_example_0026,1.0,0.0020736075938566634,1.0000021499219156,1.0000021499219156,1.0,0.0,0.0,1,39,[40],0.9966666666666667,concave
