Class,Peak,File,Mean_X_Error,Mean_Y_Error,Mean_XY_Error,Min_XY_Error,Peak_Count,Reference_Peaks,Detected_Peaks,Num_Signals_in_Class,Num_Signals_with_Peak,Method
Class1,P1,Class1_it2_example_0001,0.0,0.0,0.0,0.0,1,39,[39],250,243,concave
Class1,P1,Class1_it2_example_0002,0.0,0.0,0.0,0.0,1,40,[40],250,243,concave
Class1,P1,Class1_it2_example_0003,0.0,0.0,0.0,0.0,1,40,[40],250,243,concave
Class1,P1,Class1_it2_example_0004,0.0,0.0,0.0,0.0,1,42,[42],250,243,concave
Class1,P1,Class1_it2_example_0005,0.0,0.0,0.0,0.0,1,39,[39],250,243,concave
Class1,P1,Class1_it2_example_0006,0.0,0.0,0.0,0.0,1,41,[41],250,243,concave
Class1,P1,Class1_it2_example_0007,0.0,0.0,0.0,0.0,1,42,[42],250,243,concave
Class1,P1,Class1_it2_example_0008,0.0,0.0,0.0,0.0,1,38,[38],250,243,concave
Class1,P1,Class1_it2_example_0009,0.0,0.0,0.0,0.0,1,38,[38],250,243,concave
Class1,P1,Class1_it2_example_0010,0.0,0.0,0.0,0.0,1,41,[41],250,243,concave
Class1,P1,Class1_it2_example_0011,0.0,0.0,0.0,0.0,1,35,[35],250,243,concave
Class1,P1,Class1_it2_example_0012,0.0,0.0,0.0,0.0,1,36,[36],250,243,concave
Class1,P1,Class1_it2_example_0013,0.0,0.0,0.0,0.0,1,36,[36],250,243,concave
Class1,P1,Class1_it2_example_0014,,,,,0,41,[],250,243,concave
Class1,P1,Class1_it2_example_0015,0.0,0.0,0.0,0.0,1,23,[23],250,243,concave
Class1,P1,Class1_it2_example_0016,0.0,0.0,0.0,0.0,1,29,[29],250,243,concave
Class1,P1,Class1_it2_example_0017,0.0,0.0,0.0,0.0,1,27,[27],250,243,concave
Class1,P1,Class1_it2_example_0018,0.0,0.0,0.0,0.0,1,28,[28],250,243,concave
Class1,P1,Class1_it2_example_0019,0.0,0.0,0.0,0.0,1,28,[28],250,243,concave
Class1,P1,Class1_it2_example_0020,0.0,0.0,0.0,0.0,1,37,[37],250,243,concave
Class1,P1,Class1_it2_example_0021,0.0,0.0,0.0,0.0,1,37,[37],250,243,concave
Class1,P1,Class1_it2_example_0022,0.0,0.0,0.0,0.0,1,41,[41],250,243,concave
Class1,P1,Class1_it2_example_0023,0.0,0.0,0.0,0.0,1,45,[45],250,243,concave
Class1,P1,Class1_it2_example_0024,0.0,0.0,0.0,0.0,1,46,[46],250,243,concave
Class1,P1,Class1_it2_example_0025,0.0,0.0,0.0,0.0,1,43,[43],250,243,concave
Class1,P1,Class1_it2_example_0026,0.0,0.0,0.0,0.0,1,41,[41],250,243,concave
Class1,P1,Class1_it2_example_0027,0.0,0.0,0.0,0.0,1,44,[44],250,243,concave
Class1,P1,Class1_it2_example_0028,0.0,0.0,0.0,0.0,1,45,[45],250,243,concave
Class1,P1,Class1_it2_example_0029,0.0,0.0,0.0,0.0,1,58,[58],250,243,concave
Class1,P1,Class1_it2_example_0030,0.0,0.0,0.0,0.0,1,28,[28],250,243,concave
Class1,P1,Class1_it2_example_0031,0.0,0.0,0.0,0.0,1,27,[27],250,243,concave
Class1,P1,Class1_it2_example_0032,,,,,0,34,[],250,243,concave
Class1,P1,Class1_it2_example_0033,,,,,0,34,[],250,243,concave
Class1,P1,Class1_it2_example_0034,0.0,0.0,0.0,0.0,1,31,[31],250,243,concave
Class1,P1,Class1_it2_example_0035,0.0,0.0,0.0,0.0,1,39,[39],250,243,concave
Class1,P1,Class1_it2_example_0036,0.0,0.0,0.0,0.0,1,40,[40],250,243,concave
Class1,P1,Class1_it2_example_0037,0.0,0.0,0.0,0.0,1,39,[39],250,243,concave
Class1,P1,Class1_it2_example_0038,0.0,0.0,0.0,0.0,1,38,[38],250,243,concave
Class1,P1,Class1_it2_example_0039,0.0,0.0,0.0,0.0,1,29,[29],250,243,concave
Class1,P1,Class1_it2_example_0040,0.0,0.0,0.0,0.0,1,29,[29],250,243,concave
Class1,P1,Class1_it2_example_0041,0.0,0.0,0.0,0.0,1,33,[33],250,243,concave
Class1,P1,Class1_it2_example_0042,,,,,0,43,[],250,243,concave
