Class,Peak,File,Mean_X_Error,Mean_Y_Error,Mean_XY_Error,Min_XY_Error,Peak_Count,Reference_Peaks,Detected_Peaks,Num_Signals_in_Class,Num_Signals_with_Peak,Method
Class1,P1,Class1_example_0001,,,,,0,31,[],300,81,hilbert
Class1,P1,Class1_example_0002,,,,,0,31,[],300,81,hilbert
Class1,P1,Class1_example_0003,,,,,0,33,[],300,81,hilbert
Class1,P1,Class1_example_0004,,,,,0,38,[],300,81,hilbert
Class1,P1,Class1_example_0005,4.0,0.04346445168328794,4.000236137849881,4.000236137849881,1,38,[34],300,81,hilbert
Class1,P1,Class1_example_0006,,,,,0,25,[],300,81,hilbert
Class1,P1,Class1_example_0007,,,,,0,31,[],300,81,hilbert
Class1,P1,Class1_example_0008,1.0,0.014258693279669554,1.0001016500006605,1.0001016500006605,1,31,[30],300,81,hilbert
Class1,P1,Class1_example_0009,1.0,0.013036085067998138,1.000084966147327,1.000084966147327,1,37,[36],300,81,hilbert
Class1,P1,Class1_example_0010,,,,,0,29,[],300,81,hilbert
Class1,P1,Class1_example_0011,,,,,0,28,[],300,81,hilbert
Class1,P1,Class1_example_0012,,,,,0,29,[],300,81,hilbert
Class1,P1,Class1_example_0013,3.0,0.027423609339506605,3.000125339773191,3.000125339773191,1,38,[35],300,81,hilbert
Class1,P1,Class1_example_0014,2.0,0.024132976589936628,2.0001455948403084,2.0001455948403084,1,35,[33],300,81,hilbert
Class1,P1,Class1_example_0015,2.0,0.0291290061842292,2.0002121135022857,2.0002121135022857,1,32,[30],300,81,hilbert
Class1,P1,Class1_example_0016,3.0,0.04151607391023082,3.000287250313363,3.000287250313363,1,33,[30],300,81,hilbert
Class1,P1,Class1_example_0017,,,,,0,32,[],300,81,hilbert
Class1,P1,Class1_example_0018,,,,,0,30,[],300,81,hilbert
Class1,P1,Class1_example_0019,,,,,0,25,[],300,81,hilbert
Class1,P1,Class1_example_0020,,,,,0,21,[],300,81,hilbert
Class1,P1,Class1_example_0021,,,,,0,21,[],300,81,hilbert
Class1,P1,Class1_example_0022,,,,,0,22,[],300,81,hilbert
Class1,P1,Class1_example_0023,,,,,0,37,[],300,81,hilbert
Class1,P1,Class1_example_0024,,,,,0,44,[],300,81,hilbert
Class1,P1,Class1_example_0025,,,,,0,38,[],300,81,hilbert
Class1,P1,Class1_example_0026,,,,,0,39,[],300,81,hilbert
Class1,P1,Class1_example_0027,0.0,0.0,0.0,0.0,1,31,[31],300,81,hilbert
Class1,P1,Class1_example_0028,0.0,0.0,0.0,0.0,1,31,[31],300,81,hilbert
Class1,P1,Class1_example_0029,1.0,0.01149035487981731,1.0000660119488434,1.0000660119488434,1,39,[38],300,81,hilbert
Class1,P1,Class1_example_0030,,,,,0,25,[],300,81,hilbert
Class1,P1,Class1_example_0031,,,,,0,33,[],300,81,hilbert
Class1,P1,Class1_example_0032,,,,,0,25,[],300,81,hilbert
Class1,P1,Class1_example_0033,,,,,0,26,[],300,81,hilbert
Class1,P1,Class1_example_0034,4.0,0.04586097979792925,4.000262895044278,4.000262895044278,1,39,[35],300,81,hilbert
Class1,P1,Class1_example_0035,1.0,0.01569585557427866,1.0001231723553898,1.0001231723553898,1,32,[31],300,81,hilbert
Class1,P1,Class1_example_0036,2.0,0.023304379653751095,2.0001357689194617,2.0001357689194617,1,36,[34],300,81,hilbert
Class1,P1,Class1_example_0037,,,,,0,37,[],300,81,hilbert
Class1,P1,Class1_example_0038,,,,,0,31,[],300,81,hilbert
Class1,P1,Class1_example_0039,,,,,0,25,[],300,81,hilbert
Class1,P1,Class1_example_0040,2.0,0.030267201657699916,2.0002290127623357,2.0002290127623357,1,37,[35],300,81,hilbert
Class1,P1,Class1_example_0041,,,,,0,36,[],300,81,hilbert
Class1,P1,Class1_example_0042,,,,,0,36,[],300,81,hilbert
Class1,P1,Class1_example_0043,,,,,0,35,[],300,81,hilbert
Class1,P1,Class1_example_0044,,,,,0,35,[],300,81,hilbert
Class1,P1,Class1_example_0045,2.0,0.02479038190314975,2.0001536348578086,2.0001536348578086,1,41,[39],300,81,hilbert
Class1,P1,Class1_example_0046,1.0,0.016559835687790292,1.0001371046801566,1.0001371046801566,1,34,[33],300,81,hilbert
Class1,P1,Class1_example_0047,2.0,0.024930348405392655,2.0001553745325924,2.0001553745325924,1,37,[35],300,81,hilbert
Class1,P1,Class1_example_0048,,,,,0,23,[],300,81,hilbert
Class1,P1,Class1_example_0049,2.0,0.026850032394983403,2.000180222939826,2.000180222939826,1,36,[34],300,81,hilbert
Class1,P1,Class1_example_0050,1.0,0.010504080810704308,1.0000551663351767,1.0000551663351767,1,42,[41],300,81,hilbert
Class1,P1,Class1_example_0051,,,,,0,29,[],300,81,hilbert
Class1,P1,Class1_example_0052,,,,,0,31,[],300,81,hilbert
Class1,P1,Class1_example_0053,2.0,0.02669590840242486,2.000178159946116,2.000178159946116,1,27,[25],300,81,hilbert
Class1,P1,Class1_example_0054,,,,,0,35,[],300,81,hilbert
Class1,P1,Class1_example_0055,,,,,0,35,[],300,81,hilbert
Class1,P1,Class1_example_0056,,,,,0,28,[],300,81,hilbert
Class1,P1,Class1_example_0057,,,,,0,30,[],300,81,hilbert
Class1,P1,Class1_example_0058,0.0,0.0,0.0,0.0,1,27,[27],300,81,hilbert
Class1,P1,Class1_example_0059,,,,,0,26,[],300,81,hilbert
Class1,P1,Class1_example_0060,,,,,0,30,[],300,81,hilbert
Class1,P1,Class1_example_0061,,,,,0,24,[],300,81,hilbert
Class1,P1,Class1_example_0062,,,,,0,27,[],300,81,hilbert
Class1,P1,Class1_example_0063,,,,,0,26,[],300,81,hilbert
Class1,P1,Class1_example_0064,,,,,0,36,[],300,81,hilbert
Class1,P1,Class1_example_0065,,,,,0,27,[],300,81,hilbert
Class1,P1,Class1_example_0066,,,,,0,33,[],300,81,hilbert
Class1,P1,Class1_example_0067,,,,,0,29,[],300,81,hilbert
Class1,P1,Class1_example_0068,,,,,0,60,[],300,81,hilbert
Class1,P1,Class1_example_0069,,,,,0,30,[],300,81,hilbert
Class1,P1,Class1_example_0070,,,,,0,38,[],300,81,hilbert
Class1,P1,Class1_example_0071,,,,,0,34,[],300,81,hilbert
Class1,P1,Class1_example_0072,4.0,0.0386847276335851,4.00018705914512,4.00018705914512,1,46,[42],300,81,hilbert
Class1,P1,Class1_example_0073,,,,,0,21,[],300,81,hilbert
Class1,P1,Class1_example_0074,,,,,0,29,[],300,81,hilbert
Class1,P1,Class1_example_0075,,,,,0,30,[],300,81,hilbert
Class1,P1,Class1_example_0076,,,,,0,31,[],300,81,hilbert
Class1,P1,Class1_example_0077,,,,,0,31,[],300,81,hilbert
Class1,P1,Class1_example_0078,,,,,0,33,[],300,81,hilbert
Class1,P1,Class1_example_0079,0.0,0.0,0.0,0.0,1,29,[29],300,81,hilbert
Class1,P1,Class1_example_0080,0.0,0.0,0.0,0.0,1,28,[28],300,81,hilbert
Class1,P1,Class1_example_0081,,,,,0,26,[],300,81,hilbert
Class1,P1,Class1_example_0082,2.0,0.027328607215595047,2.0001867044784456,2.0001867044784456,1,33,[31],300,81,hilbert
Class1,P1,Class1_example_0083,1.0,0.018270521976577636,1.0001668920601683,1.0001668920601683,1,31,[30],300,81,hilbert
Class1,P1,Class1_example_0084,1.0,0.0167200125863054,1.0001397696426666,1.0001397696426666,1,31,[30],300,81,hilbert
