Class,Peak,Method,Mean_X_Error,Mean_Y_Error,Mean_XY_Error,Min_XY_Error,TP,FP,FN,Peak_Count,%_Signals_with_Peak
Class1,P1,concave_tuned,0.2048611111111111,0.0002025932102532482,0.20486128769959505,0.20486128769959505,288.0,0.0,12,0.96,0.96
Class1,P2,concave_tuned,12.10337552742616,0.04758143081238565,12.103521817165355,10.177337503811927,46.0,51.0,254,0.3233333333333333,0.2633333333333333
Class1,P3,concave_tuned,6.602497096399536,0.02251337976703851,6.602557833951007,1.0278761784503088,272.0,149.0,28,1.4233333333333333,0.9566666666666667
Class2,P1,concave_tuned,5.599715099715099,0.00784642411125781,5.5997240820864125,4.20513422817517,188.0,80.0,112,0.8933333333333333,0.78
Class2,P2,concave_tuned,6.298972602739726,0.01141035829181391,6.298989025599375,2.462340117655532,266.0,134.0,34,1.3533333333333333,0.9733333333333334
Class2,P3,concave_tuned,6.23514211886305,0.03842178917777373,6.23532951613286,5.3102359347400165,90.0,56.0,210,0.49,0.43
Class3,P1,concave_tuned,2.2142857142857144,0.004685208561327774,2.214291809126331,2.214291809126331,14.0,0.0,286,0.04666666666666667,0.04666666666666667
Class3,P2,concave_tuned,4.624004550625711,0.012006821182175944,4.624032189143802,2.6075348990818803,260.0,99.0,40,1.2,0.9766666666666667
Class3,P3,concave_tuned,5.710678210678211,0.012728387055668137,5.710707659331641,5.233789996414826,176.0,73.0,124,0.84,0.77
Class4,P1,concave_tuned,,,,,0.0,0.0,100,0.0,0.0
Class4,P2,concave_tuned,0.0,0.0,0.0,0.0,88.0,0.0,12,0.88,0.88
Class4,P3,concave_tuned,,,,,0.0,0.0,100,0.0,0.0
