Class,Peak,File,Mean_X_Error,Mean_Y_Error,Mean_XY_Error,Min_XY_Error,Peak_Count,Reference_Peaks,Detected_Peaks,Num_Signals_in_Class,Num_Signals_with_Peak,Method
Class1,P1,Class1_it2_example_0001,1.0,0.002417227237956565,1.0000029214894923,1.0000029214894923,1,39,[40],250,186,concave_tuned
Class1,P1,Class1_it2_example_0002,0.0,0.0,0.0,0.0,1,40,[40],250,186,concave_tuned
Class1,P1,Class1_it2_example_0003,1.0,0.00023274977612552927,1.0000000270862288,1.0000000270862288,1,40,[41],250,186,concave_tuned
Class1,P1,Class1_it2_example_0004,0.0,0.0,0.0,0.0,1,42,[42],250,186,concave_tuned
Class1,P1,Class1_it2_example_0005,0.0,0.0,0.0,0.0,1,39,[39],250,186,concave_tuned
Class1,P1,Class1_it2_example_0006,,,,,0,41,[],250,186,concave_tuned
Class1,P1,Class1_it2_example_0007,0.0,0.0,0.0,0.0,1,42,[42],250,186,concave_tuned
Class1,P1,Class1_it2_example_0008,1.0,0.0023955160212514315,1.0000028692443876,1.0000028692443876,1,38,[39],250,186,concave_tuned
Class1,P1,Class1_it2_example_0009,1.0,9.941902112220458e-05,1.0000000049420708,1.0000000049420708,1,38,[39],250,186,concave_tuned
Class1,P1,Class1_it2_example_0010,,,,,0,41,[],250,186,concave_tuned
Class1,P1,Class1_it2_example_0011,,,,,0,35,[],250,186,concave_tuned
Class1,P1,Class1_it2_example_0012,,,,,0,36,[],250,186,concave_tuned
Class1,P1,Class1_it2_example_0013,0.0,0.0,0.0,0.0,1,36,[36],250,186,concave_tuned
Class1,P1,Class1_it2_example_0014,0.0,0.0,0.0,0.0,1,41,[41],250,186,concave_tuned
Class1,P1,Class1_it2_example_0015,,,,,0,23,[],250,186,concave_tuned
Class1,P1,Class1_it2_example_0016,0.0,0.0,0.0,0.0,1,29,[29],250,186,concave_tuned
Class1,P1,Class1_it2_example_0017,3.0,0.025520851038461245,3.000108550342425,3.000108550342425,1,27,[30],250,186,concave_tuned
Class1,P1,Class1_it2_example_0018,2.0,0.00930521149127106,2.0000216466230802,2.0000216466230802,1,28,[30],250,186,concave_tuned
Class1,P1,Class1_it2_example_0019,2.0,0.007784150846942062,2.000015148193735,2.000015148193735,1,28,[30],250,186,concave_tuned
Class1,P1,Class1_it2_example_0020,1.0,0.000773589676907438,1.0000002992204493,1.0000002992204493,1,37,[38],250,186,concave_tuned
Class1,P1,Class1_it2_example_0021,2.0,0.005096081835461397,2.0000064925019805,2.0000064925019805,1,37,[39],250,186,concave_tuned
Class1,P1,Class1_it2_example_0022,1.0,0.0007853592678487287,1.0000003083945421,1.0000003083945421,1,41,[42],250,186,concave_tuned
Class1,P1,Class1_it2_example_0023,1.0,0.0001810974439150348,1.000000016398142,1.000000016398142,1,45,[44],250,186,concave_tuned
Class1,P1,Class1_it2_example_0024,0.0,0.0,0.0,0.0,1,46,[46],250,186,concave_tuned
Class1,P1,Class1_it2_example_0025,,,,,0,43,[],250,186,concave_tuned
Class1,P1,Class1_it2_example_0026,1.0,0.0028713665749056094,1.0000041223645069,1.0000041223645069,1,41,[42],250,186,concave_tuned
Class1,P1,Class1_it2_example_0027,,,,,0,44,[],250,186,concave_tuned
Class1,P1,Class1_it2_example_0028,1.0,0.0012912440472789832,1.0000008336552473,1.0000008336552473,1,45,[46],250,186,concave_tuned
Class1,P1,Class1_it2_example_0029,2.0,0.00613995903925979,2.0000094247520446,2.0000094247520446,1,58,[60],250,186,concave_tuned
Class1,P1,Class1_it2_example_0030,2.0,0.014783504627152388,2.000054637255958,2.000054637255958,1,28,[30],250,186,concave_tuned
Class1,P1,Class1_it2_example_0031,,,,,0,27,[],250,186,concave_tuned
Class1,P1,Class1_it2_example_0032,0.0,0.0,0.0,0.0,1,34,[34],250,186,concave_tuned
Class1,P1,Class1_it2_example_0033,1.0,0.0003244707298646343,1.0000000526406259,1.0000000526406259,1,34,[33],250,186,concave_tuned
Class1,P1,Class1_it2_example_0034,1.0,0.0034092120274524795,1.0000058113464383,1.0000058113464383,1,31,[32],250,186,concave_tuned
Class1,P1,Class1_it2_example_0035,0.0,0.0,0.0,0.0,1,39,[39],250,186,concave_tuned
Class1,P1,Class1_it2_example_0036,1.0,0.0016054163784929854,1.0000012886800438,1.0000012886800438,1,40,[41],250,186,concave_tuned
Class1,P1,Class1_it2_example_0037,1.0,0.0017256593399431752,1.0000014889489703,1.0000014889489703,1,39,[40],250,186,concave_tuned
Class1,P1,Class1_it2_example_0038,1.0,0.0015356905737820004,1.000001179172074,1.000001179172074,1,38,[39],250,186,concave_tuned
Class1,P1,Class1_it2_example_0039,2.0,0.010213358872379175,2.0000260780048484,2.0000260780048484,1,29,[31],250,186,concave_tuned
Class1,P1,Class1_it2_example_0040,2.0,0.007985155369032881,2.000015940613041,2.000015940613041,1,29,[31],250,186,concave_tuned
Class1,P1,Class1_it2_example_0041,1.0,0.004805081550888768,1.0000115443377195,1.0000115443377195,1,33,[34],250,186,concave_tuned
Class1,P1,Class1_it2_example_0042,2.0,0.005196812193928868,2.0000067517028484,2.0000067517028484,1,43,[45],250,186,concave_tuned
Class1,P1,Class1_it2_example_0043,2.0,0.004264619401020742,2.0000045467394907,2.0000045467394907,1,35,[37],250,186,concave_tuned
Class1,P1,Class1_it2_example_0044,1.0,0.0042711505863678445,1.0000091213220665,1.0000091213220665,1,28,[29],250,186,concave_tuned
Class1,P1,Class1_it2_example_0045,2.0,0.010170129609539669,2.0000258577169134,2.0000258577169134,1,30,[32],250,186,concave_tuned
Class1,P1,Class1_it2_example_0046,2.0,0.006663854293113447,2.000011101707698,2.000011101707698,1,29,[31],250,186,concave_tuned
Class1,P1,Class1_it2_example_0047,1.0,0.004275471799150221,1.0000091397877848,1.0000091397877848,1,29,[30],250,186,concave_tuned
Class1,P1,Class1_it2_example_0048,2.0,0.011774108197066036,2.0000346571056804,2.0000346571056804,1,30,[32],250,186,concave_tuned
Class1,P1,Class1_it2_example_0049,3.0,0.018043578147811767,3.0000542612946814,3.0000542612946814,1,30,[33],250,186,concave_tuned
Class1,P1,Class1_it2_example_0050,2.0,0.00594892649284029,2.000008847412035,2.000008847412035,1,61,[63],250,186,concave_tuned
Class1,P1,Class1_it2_example_0051,2.0,0.015966690071312573,2.0000637327824915,2.0000637327824915,1,30,[32],250,186,concave_tuned
Class1,P1,Class1_it2_example_0052,1.0,0.0016515025063665867,1.0000013637293343,1.0000013637293343,1,37,[38],250,186,concave_tuned
Class1,P1,Class1_it2_example_0053,,,,,0,36,[],250,186,concave_tuned
Class1,P1,Class1_it2_example_0054,1.0,0.003620731354904927,1.0000065548262893,1.0000065548262893,1,35,[36],250,186,concave_tuned
Class1,P1,Class1_it2_example_0055,1.0,0.0049037040880723914,1.0000120230846143,1.0000120230846143,1,67,[68],250,186,concave_tuned
Class1,P1,Class1_it2_example_0056,2.0,0.012529622561620823,2.000039247475293,2.000039247475293,1,30,[32],250,186,concave_tuned
