Class,Peak,File,Mean_X_Error,Mean_Y_Error,Mean_XY_Error,Min_XY_Error,Peak_Count,Reference_Peaks,Detected_Peaks,Num_Signals_in_Class,Num_Signals_with_Peak,Method
Class1,P1,Class1_example_0001,5.0,0.04156567641990383,5.000172767560762,5.000172767560762,1,31,[36],300,289,concave_d2x=0-002
Class1,P1,Class1_example_0002,3.0,0.023957267905124646,3.0000956569225385,3.0000956569225385,1,31,[34],300,289,concave_d2x=0-002
Class1,P1,Class1_example_0003,3.0,0.018356073234925274,3.000056157045165,3.000056157045165,1,33,[36],300,289,concave_d2x=0-002
Class1,P1,Class1_example_0004,1.0,0.00194761565276802,1.000001896601567,1.000001896601567,1,38,[39],300,289,concave_d2x=0-002
Class1,P1,Class1_example_0005,,,,,0,38,[],300,289,concave_d2x=0-002
Class1,P1,Class1_example_0006,4.0,0.03615656796726441,4.00016340883809,4.00016340883809,1,25,[29],300,289,concave_d2x=0-002
Class1,P1,Class1_example_0007,3.0,0.02149731956073153,3.0000770214693318,3.0000770214693318,1,31,[34],300,289,concave_d2x=0-002
Class1,P1,Class1_example_0008,3.0,0.020098747912495885,3.0000673258558135,3.0000673258558135,1,31,[34],300,289,concave_d2x=0-002
Class1,P1,Class1_example_0009,3.0,0.013321700058026131,3.000029577802932,3.000029577802932,1,37,[40],300,289,concave_d2x=0-002
Class1,P1,Class1_example_0010,4.0,0.038412995260507676,4.000184440523322,4.000184440523322,1,29,[33],300,289,concave_d2x=0-002
Class1,P1,Class1_example_0011,5.0,0.05345896835712449,5.000285777962876,5.000285777962876,1,28,[33],300,289,concave_d2x=0-002
Class1,P1,Class1_example_0012,3.0,0.01561738252967304,3.000040650164107,3.000040650164107,1,29,[32],300,289,concave_d2x=0-002
Class1,P1,Class1_example_0013,,,,,0,38,[],300,289,concave_d2x=0-002
Class1,P1,Class1_example_0014,2.0,0.0068956470685311855,2.0000118874517954,2.0000118874517954,1,35,[37],300,289,concave_d2x=0-002
Class1,P1,Class1_example_0015,3.0,0.012622934302475963,3.000026556294195,3.000026556294195,1,32,[35],300,289,concave_d2x=0-002
Class1,P1,Class1_example_0016,2.0,0.0055688615379801965,2.00000775303968,2.00000775303968,1,33,[35],300,289,concave_d2x=0-002
Class1,P1,Class1_example_0017,3.0,0.020619974969464105,3.0000708630576947,3.0000708630576947,1,32,[35],300,289,concave_d2x=0-002
Class1,P1,Class1_example_0018,4.0,0.026777482940369413,4.000089628194926,4.000089628194926,1,30,[34],300,289,concave_d2x=0-002
Class1,P1,Class1_example_0019,6.0,0.0693366606922754,6.000400617668453,6.000400617668453,1,25,[31],300,289,concave_d2x=0-002
Class1,P1,Class1_example_0020,,,,,0,21,[],300,289,concave_d2x=0-002
