Class,Peak,File,Mean_X_Error,Mean_Y_Error,Mean_XY_Error,Min_XY_Error,Peak_Count,Reference_Peaks,Detected_Peaks,Num_Signals_in_Class,Num_Signals_with_Peak,Method
Class1,P1,Class1_example_0001,,,,,0,31,[],300,107,curvature
Class1,P1,Class1_example_0002,,,,,0,31,[],300,107,curvature
Class1,P1,Class1_example_0003,,,,,0,33,[],300,107,curvature
Class1,P1,Class1_example_0004,4.0,0.03991920104612168,4.000199187867044,4.000199187867044,1,38,[34],300,107,curvature
Class1,P1,Class1_example_0005,0.0,0.0,0.0,0.0,1,38,[38],300,107,curvature
Class1,P1,Class1_example_0006,4.0,0.030265934439258402,4.000114501709605,4.000114501709605,1,25,[29],300,107,curvature
Class1,P1,Class1_example_0007,1.0,0.004677231923879033,1.000010938189413,1.000010938189413,1,31,[30],300,107,curvature
Class1,P1,Class1_example_0008,4.0,0.012476039315391874,4.000019456397306,4.000019456397306,1,31,[35],300,107,curvature
Class1,P1,Class1_example_0009,1.0,0.0002465457345613986,1.000000030392399,1.000000030392399,1,37,[36],300,107,curvature
Class1,P1,Class1_example_0010,,,,,0,29,[],300,107,curvature
Class1,P1,Class1_example_0011,,,,,0,28,[],300,107,curvature
Class1,P1,Class1_example_0012,2.5,0.02276413277577255,2.500104969060395,2.000061499455741,2,29,"[27, 32]",300,107,curvature
Class1,P1,Class1_example_0013,5.5,0.029022454166246714,5.500086680764713,3.000006907600485,2,38,"[41, 46]",300,107,curvature
Class1,P1,Class1_example_0014,3.5,0.02460291479049803,3.5000927163757938,2.0000163401843523,2,35,"[33, 40]",300,107,curvature
Class1,P1,Class1_example_0015,,,,,0,32,[],300,107,curvature
Class1,P1,Class1_example_0016,,,,,0,33,[],300,107,curvature
Class1,P1,Class1_example_0017,2.5,0.0184256627335439,2.500068318827779,2.0000652717429097,2,32,"[30, 35]",300,107,curvature
Class1,P1,Class1_example_0018,,,,,0,30,[],300,107,curvature
Class1,P1,Class1_example_0019,,,,,0,25,[],300,107,curvature
Class1,P1,Class1_example_0020,,,,,0,21,[],300,107,curvature
Class1,P1,Class1_example_0021,,,,,0,21,[],300,107,curvature
Class1,P1,Class1_example_0022,,,,,0,22,[],300,107,curvature
Class1,P1,Class1_example_0023,,,,,0,37,[],300,107,curvature
Class1,P1,Class1_example_0024,,,,,0,44,[],300,107,curvature
Class1,P1,Class1_example_0025,3.0,0.025013550035046794,3.000104277801916,3.000104277801916,1,38,[35],300,107,curvature
Class1,P1,Class1_example_0026,,,,,0,39,[],300,107,curvature
Class1,P1,Class1_example_0027,,,,,0,31,[],300,107,curvature
Class1,P1,Class1_example_0028,,,,,0,31,[],300,107,curvature
Class1,P1,Class1_example_0029,3.0,0.02219296506692603,3.00008216357177,2.0000500940103167,2,39,"[37, 43]",300,107,curvature
Class1,P1,Class1_example_0030,1.0,0.003668689534329528,1.0000067296188058,1.0000067296188058,1,25,[24],300,107,curvature
Class1,P1,Class1_example_0031,1.0,0.0022110545615572352,1.0000024443781497,1.0000024443781497,1,33,[32],300,107,curvature
Class1,P1,Class1_example_0032,,,,,0,25,[],300,107,curvature
Class1,P1,Class1_example_0033,,,,,0,26,[],300,107,curvature
Class1,P1,Class1_example_0034,,,,,0,39,[],300,107,curvature
Class1,P1,Class1_example_0035,,,,,0,32,[],300,107,curvature
Class1,P1,Class1_example_0036,3.0,0.010723519272393456,3.0000204230471454,3.0000106046463695,2,36,"[33, 39]",300,107,curvature
Class1,P1,Class1_example_0037,0.0,0.0,0.0,0.0,1,37,[37],300,107,curvature
Class1,P1,Class1_example_0038,,,,,0,31,[],300,107,curvature
Class1,P1,Class1_example_0039,,,,,0,25,[],300,107,curvature
Class1,P1,Class1_example_0040,,,,,0,37,[],300,107,curvature
Class1,P1,Class1_example_0041,,,,,0,36,[],300,107,curvature
Class1,P1,Class1_example_0042,,,,,0,36,[],300,107,curvature
Class1,P1,Class1_example_0043,,,,,0,35,[],300,107,curvature
Class1,P1,Class1_example_0044,,,,,0,35,[],300,107,curvature
