Class,Peak,File,Mean_X_Error,Mean_Y_Error,Mean_XY_Error,Min_XY_Error,Peak_Count,Reference_Peaks,Detected_Peaks,Num_Signals_in_Class,Num_Signals_with_Peak,Method
Class1,P1,Class1_it2_example_0001,3.0,0.014485291265549538,3.0000349704066864,3.0000349704066864,1,39,[42],250,209,concave_d2x=0-002
Class1,P1,Class1_it2_example_0002,2.0,0.005477274652239683,2.0000075001203412,2.0000075001203412,1,40,[42],250,209,concave_d2x=0-002
Class1,P1,Class1_it2_example_0003,,,,,0,40,[],250,209,concave_d2x=0-002
Class1,P1,Class1_it2_example_0004,2.0,0.002614558115102028,2.000001708977804,2.000001708977804,1,42,[44],250,209,concave_d2x=0-002
Class1,P1,Class1_it2_example_0005,2.0,0.0047344829569002655,2.0000056038243668,2.0000056038243668,1,39,[41],250,209,concave_d2x=0-002
Class1,P1,Class1_it2_example_0006,,,,,0,41,[],250,209,concave_d2x=0-002
Class1,P1,Class1_it2_example_0007,,,,,0,42,[],250,209,concave_d2x=0-002
Class1,P1,Class1_it2_example_0008,3.0,0.014445863772880707,3.000034780295079,3.000034780295079,1,38,[41],250,209,concave_d2x=0-002
Class1,P1,Class1_it2_example_0009,3.0,0.00844211845532683,3.0000118782038205,3.0000118782038205,1,38,[41],250,209,concave_d2x=0-002
Class1,P1,Class1_it2_example_0010,,,,,0,41,[],250,209,concave_d2x=0-002
Class1,P1,Class1_it2_example_0011,,,,,0,35,[],250,209,concave_d2x=0-002
Class1,P1,Class1_it2_example_0012,,,,,0,36,[],250,209,concave_d2x=0-002
Class1,P1,Class1_it2_example_0013,2.0,0.002960048041236951,2.000002190469902,2.000002190469902,1,36,[38],250,209,concave_d2x=0-002
Class1,P1,Class1_it2_example_0014,,,,,0,41,[],250,209,concave_d2x=0-002
Class1,P1,Class1_it2_example_0015,5.0,0.061533581716033625,5.00037862383228,5.00037862383228,1,23,[28],250,209,concave_d2x=0-002
Class1,P1,Class1_it2_example_0016,2.0,0.00852807241530873,2.0000181819221345,2.0000181819221345,1,29,[31],250,209,concave_d2x=0-002
Class1,P1,Class1_it2_example_0017,,,,,0,27,[],250,209,concave_d2x=0-002
Class1,P1,Class1_it2_example_0018,3.0,0.024274158336663798,3.000098204186482,3.000098204186482,1,28,[31],250,209,concave_d2x=0-002
Class1,P1,Class1_it2_example_0019,4.0,0.02815720191495441,4.0000991022748025,4.0000991022748025,1,28,[32],250,209,concave_d2x=0-002
Class1,P1,Class1_it2_example_0020,2.0,0.008904992660882849,2.0000198246253187,2.0000198246253187,1,37,[39],250,209,concave_d2x=0-002
Class1,P1,Class1_it2_example_0021,3.0,0.01902007037468212,3.000060293240297,3.000060293240297,1,37,[40],250,209,concave_d2x=0-002
Class1,P1,Class1_it2_example_0022,1.0,0.003824811446114351,1.0000073145645478,1.0000073145645478,1,41,[42],250,209,concave_d2x=0-002
Class1,P1,Class1_it2_example_0023,,,,,0,45,[],250,209,concave_d2x=0-002
Class1,P1,Class1_it2_example_0024,1.0,0.0014631638167179606,1.0000010704236044,1.0000010704236044,1,46,[47],250,209,concave_d2x=0-002
Class1,P1,Class1_it2_example_0025,2.0,0.0047449707086671955,2.000005628678836,2.000005628678836,1,43,[45],250,209,concave_d2x=0-002
Class1,P1,Class1_it2_example_0026,2.0,0.010769564286842614,2.000028995668545,2.000028995668545,1,41,[43],250,209,concave_d2x=0-002
Class1,P1,Class1_it2_example_0027,2.0,0.006873772372650189,2.000011812151776,2.000011812151776,1,44,[46],250,209,concave_d2x=0-002
Class1,P1,Class1_it2_example_0028,2.0,0.006911943449842917,2.0000119437049007,2.0000119437049007,1,45,[47],250,209,concave_d2x=0-002
Class1,P1,Class1_it2_example_0029,5.0,0.028003532028175626,5.000078419165648,5.000078419165648,1,58,[63],250,209,concave_d2x=0-002
Class1,P1,Class1_it2_example_0030,5.0,0.04426156206546761,5.000195904749781,5.000195904749781,1,28,[33],250,209,concave_d2x=0-002
Class1,P1,Class1_it2_example_0031,3.0,0.021337402664718952,3.0000758798324547,3.0000758798324547,1,27,[30],250,209,concave_d2x=0-002
Class1,P1,Class1_it2_example_0032,,,,,0,34,[],250,209,concave_d2x=0-002
Class1,P1,Class1_it2_example_0033,,,,,0,34,[],250,209,concave_d2x=0-002
Class1,P1,Class1_it2_example_0034,4.0,0.019598200063073112,4.000048010892583,4.000048010892583,1,31,[35],250,209,concave_d2x=0-002
Class1,P1,Class1_it2_example_0035,2.0,0.005488955701603793,2.0000075321444903,2.0000075321444903,1,39,[41],250,209,concave_d2x=0-002
Class1,P1,Class1_it2_example_0036,2.0,0.008179041049413804,2.000016724108198,2.000016724108198,1,40,[42],250,209,concave_d2x=0-002
Class1,P1,Class1_it2_example_0037,2.0,0.007317468508235447,2.000013386291544,2.000013386291544,1,39,[41],250,209,concave_d2x=0-002
