Class,Peak,Method,Mean_X_Error,Mean_Y_Error,Mean_XY_Error,Min_XY_Error,Peak_Count,Num_Signals_in_Class,Num_Signals_with_Peak
Class1,P1,wavelet,62.47578174603174,0.428064070877449,62.47775261304913,1.5834438048971702,5.8,300.0,300.0
Class1,P2,wavelet,49.69013624338624,0.28283001909619154,49.69109836790332,3.8801826783050206,5.8,300.0,300.0
Class1,P3,wavelet,46.00615476190476,0.2573056486827105,46.00699849418997,2.370006429057695,5.8,300.0,300.0
Class2,P1,wavelet,62.153923280423285,0.33045332463415966,62.1552932017484,2.7536407459190064,6.086666666666667,300.0,300.0
Class2,P2,wavelet,48.74401322751323,0.3426590352452679,48.74544377194485,2.3833689300290715,6.086666666666667,300.0,300.0
Class2,P3,wavelet,44.75979894179895,0.2868403916731063,44.760977593754376,4.316716932092219,6.086666666666667,300.0,300.0
Class3,P1,wavelet,66.26270634920634,0.268866695162777,66.26375903372923,1.616876171859278,6.316666666666666,300.0,300.0
Class3,P2,wavelet,49.201510582010584,0.38349041542665,49.20323776179367,2.1066952355850352,6.316666666666666,300.0,300.0
Class3,P3,wavelet,44.57651851851852,0.3458575468937962,44.578028402479916,4.106710389214421,6.316666666666666,300.0,300.0
Class4,P1,wavelet,,,,,5.37,100.0,100.0
Class4,P2,wavelet,48.575500000000005,0.4380067837009227,48.57761854287508,3.2500579985600293,5.37,100.0,100.0
Class4,P3,wavelet,,,,,5.37,100.0,100.0
