Class,Peak,File,Mean_X_Error,Mean_Y_Error,Mean_XY_Error,Min_XY_Error,Peak_Count,Reference_Peaks,Detected_Peaks,Num_Signals_in_Class,Num_Signals_with_Peak,Method
Class1,P1,Class1_example_0001,2.0,0.010955322194961425,2.0000300045460304,2.0000300045460304,1,31,[33],300,229,concave_tuned
Class1,P1,Class1_example_0002,2.0,0.007216782392705623,2.000013020444643,2.000013020444643,1,31,[33],300,229,concave_tuned
Class1,P1,Class1_example_0003,1.0,0.0031862988123420033,1.0000050762371766,1.0000050762371766,1,33,[34],300,229,concave_tuned
Class1,P1,Class1_example_0004,0.0,0.0,0.0,0.0,1,38,[38],300,229,concave_tuned
Class1,P1,Class1_example_0005,0.0,0.0,0.0,0.0,1,38,[38],300,229,concave_tuned
Class1,P1,Class1_example_0006,2.0,0.013600104729734719,2.0000462401776264,2.0000462401776264,1,25,[27],300,229,concave_tuned
Class1,P1,Class1_example_0007,1.0,0.004793720056467388,1.000011489809982,1.000011489809982,1,31,[32],300,229,concave_tuned
Class1,P1,Class1_example_0008,1.0,0.002826161318490117,1.0000039935859246,1.0000039935859246,1,31,[32],300,229,concave_tuned
Class1,P1,Class1_example_0009,1.0,0.0025719255637713934,1.0000033073950834,1.0000033073950834,1,37,[38],300,229,concave_tuned
Class1,P1,Class1_example_0010,2.0,0.012731270239089598,2.0000405208999896,2.0000405208999896,1,29,[31],300,229,concave_tuned
Class1,P1,Class1_example_0011,3.0,0.025228339274635636,3.0001060763083953,3.0001060763083953,1,28,[31],300,229,concave_tuned
Class1,P1,Class1_example_0012,1.0,0.004736703806051068,1.00001121811855,1.00001121811855,1,29,[30],300,229,concave_tuned
Class1,P1,Class1_example_0013,,,,,0,38,[],300,229,concave_tuned
Class1,P1,Class1_example_0014,1.0,0.0003364186979251116,1.0000000565887686,1.0000000565887686,1,35,[36],300,229,concave_tuned
Class1,P1,Class1_example_0015,1.0,0.0023587083081302307,1.0000027817485724,1.0000027817485724,1,32,[33],300,229,concave_tuned
Class1,P1,Class1_example_0016,0.0,0.0,0.0,0.0,1,33,[33],300,229,concave_tuned
Class1,P1,Class1_example_0017,1.0,0.006694049548310987,1.0000224048986879,1.0000224048986879,1,32,[33],300,229,concave_tuned
Class1,P1,Class1_example_0018,1.0,0.005196272623895104,1.0000135005334587,1.0000135005334587,1,30,[31],300,229,concave_tuned
Class1,P1,Class1_example_0019,3.0,0.02932564900685042,3.0001433288577517,3.0001433288577517,1,25,[28],300,229,concave_tuned
Class1,P1,Class1_example_0020,,,,,0,21,[],300,229,concave_tuned
Class1,P1,Class1_example_0021,,,,,0,21,[],300,229,concave_tuned
Class1,P1,Class1_example_0022,,,,,0,22,[],300,229,concave_tuned
Class1,P1,Class1_example_0023,1.0,0.004138754960827606,1.0000085646096366,1.0000085646096366,1,37,[38],300,229,concave_tuned
Class1,P1,Class1_example_0024,1.0,0.0022527946593055015,1.000002537538669,1.000002537538669,1,44,[45],300,229,concave_tuned
Class1,P1,Class1_example_0025,0.0,0.0,0.0,0.0,1,38,[38],300,229,concave_tuned
Class1,P1,Class1_example_0026,1.0,0.0020736075938566634,1.0000021499219156,1.0000021499219156,1,39,[40],300,229,concave_tuned
Class1,P1,Class1_example_0027,2.0,0.011944121386933015,2.000035665190925,2.000035665190925,1,31,[33],300,229,concave_tuned
Class1,P1,Class1_example_0028,2.0,0.005336492597803777,2.0000071195256397,2.0000071195256397,1,31,[33],300,229,concave_tuned
Class1,P1,Class1_example_0029,1.0,0.0023187005123174176,1.0000026881824198,1.0000026881824198,1,39,[40],300,229,concave_tuned
Class1,P1,Class1_example_0030,,,,,0,25,[],300,229,concave_tuned
Class1,P1,Class1_example_0031,1.0,0.0011925457433848985,1.0000007110824223,1.0000007110824223,1,33,[34],300,229,concave_tuned
Class1,P1,Class1_example_0032,2.0,0.011570584196499811,2.000033469324613,2.000033469324613,1,25,[27],300,229,concave_tuned
Class1,P1,Class1_example_0033,1.0,0.005785012423738967,1.000016733044374,1.000016733044374,1,26,[27],300,229,concave_tuned
Class1,P1,Class1_example_0034,0.0,0.0,0.0,0.0,1,39,[39],300,229,concave_tuned
Class1,P1,Class1_example_0035,2.0,0.00577945299320981,2.0000083505017927,2.0000083505017927,1,32,[34],300,229,concave_tuned
Class1,P1,Class1_example_0036,1.0,0.0006546294937399555,1.000000214269864,1.000000214269864,1,36,[37],300,229,concave_tuned
Class1,P1,Class1_example_0037,0.0,0.0,0.0,0.0,1,37,[37],300,229,concave_tuned
