Class,Peak,File,Mean_X_Error,Mean_Y_Error,Mean_XY_Error,Min_XY_Error,Peak_Count,Reference_Peaks,Detected_Peaks,Num_Signals_in_Class,Num_Signals_with_Peak,Method
Class1,P1,Class1_example_0001,5.0,0.04156567641990627,5.000172767560762,5.000172767560762,1,31,[36],300,189,concave_d2x=-0-002
Class1,P1,Class1_example_0002,3.0,0.023957267905118873,3.0000956569225385,3.0000956569225385,1,31,[34],300,189,concave_d2x=-0-002
Class1,P1,Class1_example_0003,3.0,0.018356073234919945,3.000056157045165,3.000056157045165,1,33,[36],300,189,concave_d2x=-0-002
Class1,P1,Class1_example_0004,1.0,0.0019476156527669097,1.000001896601567,1.000001896601567,1,38,[39],300,189,concave_d2x=-0-002
Class1,P1,Class1_example_0005,0.0,0.0,0.0,0.0,1,38,[38],300,189,concave_d2x=-0-002
Class1,P1,Class1_example_0006,4.0,0.036156567967264186,4.00016340883809,4.00016340883809,1,25,[29],300,189,concave_d2x=-0-002
Class1,P1,Class1_example_0007,3.0,0.02149731956072376,3.0000770214693318,3.0000770214693318,1,31,[34],300,189,concave_d2x=-0-002
Class1,P1,Class1_example_0008,3.0,0.02009874791250188,3.0000673258558135,3.0000673258558135,1,31,[34],300,189,concave_d2x=-0-002
Class1,P1,Class1_example_0009,3.0,0.01332170005801836,3.000029577802932,3.000029577802932,1,37,[40],300,189,concave_d2x=-0-002
Class1,P1,Class1_example_0010,4.0,0.03841299526051212,4.000184440523322,4.000184440523322,1,29,[33],300,189,concave_d2x=-0-002
Class1,P1,Class1_example_0011,5.0,0.05345896835711006,5.000285777962876,5.000285777962876,1,28,[33],300,189,concave_d2x=-0-002
Class1,P1,Class1_example_0012,,,,,0,29,[],300,189,concave_d2x=-0-002
Class1,P1,Class1_example_0013,,,,,0,38,[],300,189,concave_d2x=-0-002
Class1,P1,Class1_example_0014,2.0,0.006895647068530963,2.0000118874517954,2.0000118874517954,1,35,[37],300,189,concave_d2x=-0-002
Class1,P1,Class1_example_0015,3.0,0.012622934302479738,3.000026556294195,3.000026556294195,1,32,[35],300,189,concave_d2x=-0-002
Class1,P1,Class1_example_0016,2.0,0.00556886153797953,2.00000775303968,2.00000775303968,1,33,[35],300,189,concave_d2x=-0-002
Class1,P1,Class1_example_0017,,,,,0,32,[],300,189,concave_d2x=-0-002
Class1,P1,Class1_example_0018,4.0,0.026777482940380515,4.000089628194926,4.000089628194926,1,30,[34],300,189,concave_d2x=-0-002
Class1,P1,Class1_example_0019,6.0,0.06933666069227762,6.000400617668453,6.000400617668453,1,25,[31],300,189,concave_d2x=-0-002
Class1,P1,Class1_example_0020,,,,,0,21,[],300,189,concave_d2x=-0-002
Class1,P1,Class1_example_0021,,,,,0,21,[],300,189,concave_d2x=-0-002
Class1,P1,Class1_example_0022,,,,,0,22,[],300,189,concave_d2x=-0-002
Class1,P1,Class1_example_0023,4.0,0.025025420043733537,4.000078283190013,4.000078283190013,1,37,[41],300,189,concave_d2x=-0-002
Class1,P1,Class1_example_0024,2.0,0.009769472704042048,2.000023860506898,2.000023860506898,1,44,[46],300,189,concave_d2x=-0-002
Class1,P1,Class1_example_0025,2.0,0.004997876613684116,2.0000062446829125,2.0000062446829125,1,38,[40],300,189,concave_d2x=-0-002
Class1,P1,Class1_example_0026,3.0,0.015053616086398991,3.000037768321805,3.000037768321805,1,39,[42],300,189,concave_d2x=-0-002
Class1,P1,Class1_example_0027,5.0,0.037812566670178405,5.000142976975577,5.000142976975577,1,31,[36],300,189,concave_d2x=-0-002
Class1,P1,Class1_example_0028,3.0,0.022694585310382043,3.0000858394723324,3.0000858394723324,1,31,[34],300,189,concave_d2x=-0-002
Class1,P1,Class1_example_0029,2.0,0.008123491653265758,2.0000164977111163,2.0000164977111163,1,39,[41],300,189,concave_d2x=-0-002
Class1,P1,Class1_example_0030,,,,,0,25,[],300,189,concave_d2x=-0-002
Class1,P1,Class1_example_0031,1.0,0.005017497160199058,1.000012587559653,1.000012587559653,1,33,[34],300,189,concave_d2x=-0-002
Class1,P1,Class1_example_0032,4.0,0.033448066533433796,4.000139844199803,4.000139844199803,1,25,[29],300,189,concave_d2x=-0-002
Class1,P1,Class1_example_0033,3.0,0.02521518164709724,3.0001059656927946,3.0001059656927946,1,26,[29],300,189,concave_d2x=-0-002
Class1,P1,Class1_example_0034,1.0,0.002527972623799002,1.0000031953176882,1.0000031953176882,1,39,[40],300,189,concave_d2x=-0-002
Class1,P1,Class1_example_0035,4.0,0.024030962886013807,4.0000721852458145,4.0000721852458145,1,32,[36],300,189,concave_d2x=-0-002
Class1,P1,Class1_example_0036,2.0,0.007002697388883483,2.000012259405107,2.000012259405107,1,36,[38],300,189,concave_d2x=-0-002
Class1,P1,Class1_example_0037,1.0,0.0026785553178403365,1.000003587322861,1.000003587322861,1,37,[38],300,189,concave_d2x=-0-002
Class1,P1,Class1_example_0038,3.0,0.016724722753148957,3.0000466190296393,3.0000466190296393,1,31,[34],300,189,concave_d2x=-0-002
Class1,P1,Class1_example_0039,,,,,0,25,[],300,189,concave_d2x=-0-002
Class1,P1,Class1_example_0040,4.0,0.020070473495700236,4.000050352671368,4.000050352671368,1,37,[41],300,189,concave_d2x=-0-002
Class1,P1,Class1_example_0041,3.0,0.021999250479521892,3.0000806600859353,3.0000806600859353,1,36,[39],300,189,concave_d2x=-0-002
Class1,P1,Class1_example_0042,3.0,0.012207015057602466,3.0000248350999725,3.0000248350999725,1,36,[39],300,189,concave_d2x=-0-002
Class1,P1,Class1_example_0043,2.0,0.004517644147217559,2.000005102270652,2.000005102270652,1,35,[37],300,189,concave_d2x=-0-002
Class1,P1,Class1_example_0044,2.0,0.012765425668461727,2.0000407386082157,2.0000407386082157,1,35,[37],300,189,concave_d2x=-0-002
Class1,P1,Class1_example_0045,2.0,0.007975746357122504,2.0000159030692615,2.0000159030692615,1,41,[43],300,189,concave_d2x=-0-002
Class1,P1,Class1_example_0046,4.0,0.026858842446744746,4.000090173660786,4.000090173660786,1,34,[38],300,189,concave_d2x=-0-002
Class1,P1,Class1_example_0047,2.0,0.006861589431453541,2.0000117703177462,2.0000117703177462,1,37,[39],300,189,concave_d2x=-0-002
Class1,P1,Class1_example_0048,,,,,0,23,[],300,189,concave_d2x=-0-002
Class1,P1,Class1_example_0049,2.0,0.010035128798527415,2.0000251757940455,2.0000251757940455,1,36,[38],300,189,concave_d2x=-0-002
Class1,P1,Class1_example_0050,2.0,0.008513036384905415,2.0000181178650585,2.0000181178650585,1,42,[44],300,189,concave_d2x=-0-002
Class1,P1,Class1_example_0051,,,,,0,29,[],300,189,concave_d2x=-0-002
Class1,P1,Class1_example_0052,2.0,0.013078474986811028,2.000042761169866,2.000042761169866,1,31,[33],300,189,concave_d2x=-0-002
Class1,P1,Class1_example_0053,2.0,0.008813130083357268,2.0000194177212043,2.0000194177212043,1,27,[29],300,189,concave_d2x=-0-002
Class1,P1,Class1_example_0054,,,,,0,35,[],300,189,concave_d2x=-0-002
Class1,P1,Class1_example_0055,3.0,0.012963600695732214,3.0000280090264155,3.0000280090264155,1,35,[38],300,189,concave_d2x=-0-002
Class1,P1,Class1_example_0056,,,,,0,28,[],300,189,concave_d2x=-0-002
Class1,P1,Class1_example_0057,5.0,0.039052434330782315,5.000152506936879,5.000152506936879,1,30,[35],300,189,concave_d2x=-0-002
Class1,P1,Class1_example_0058,3.0,0.02189475474741087,3.0000798956503556,3.0000798956503556,1,27,[30],300,189,concave_d2x=-0-002
Class1,P1,Class1_example_0059,4.0,0.040278862844078,4.0002027932083655,4.0002027932083655,1,26,[30],300,189,concave_d2x=-0-002
Class1,P1,Class1_example_0060,,,,,0,30,[],300,189,concave_d2x=-0-002
Class1,P1,Class1_example_0061,,,,,0,24,[],300,189,concave_d2x=-0-002
Class1,P1,Class1_example_0062,,,,,0,27,[],300,189,concave_d2x=-0-002
Class1,P1,Class1_example_0063,,,,,0,26,[],300,189,concave_d2x=-0-002
Class1,P1,Class1_example_0064,4.0,0.02881190982020132,4.000103764422554,4.000103764422554,1,36,[40],300,189,concave_d2x=-0-002
Class1,P1,Class1_example_0065,,,,,0,27,[],300,189,concave_d2x=-0-002
Class1,P1,Class1_example_0066,,,,,0,33,[],300,189,concave_d2x=-0-002
Class1,P1,Class1_example_0067,,,,,0,29,[],300,189,concave_d2x=-0-002
Class1,P1,Class1_example_0068,,,,,0,60,[],300,189,concave_d2x=-0-002
Class1,P1,Class1_example_0069,4.0,0.029253508952479135,4.000106969542943,4.000106969542943,1,30,[34],300,189,concave_d2x=-0-002
Class1,P1,Class1_example_0070,1.0,0.002870051911561977,1.0000041185905062,1.0000041185905062,1,38,[39],300,189,concave_d2x=-0-002
Class1,P1,Class1_example_0071,3.0,0.014199378159569509,3.0000336035351536,3.0000336035351536,1,34,[37],300,189,concave_d2x=-0-002
Class1,P1,Class1_example_0072,2.0,0.003110946820614524,2.0000024194960666,2.0000024194960666,1,46,[48],300,189,concave_d2x=-0-002
Class1,P1,Class1_example_0073,,,,,0,21,[],300,189,concave_d2x=-0-002
Class1,P1,Class1_example_0074,,,,,0,29,[],300,189,concave_d2x=-0-002
Class1,P1,Class1_example_0075,,,,,0,30,[],300,189,concave_d2x=-0-002
Class1,P1,Class1_example_0076,2.0,0.00944311168424583,2.000022292965326,2.000022292965326,1,31,[33],300,189,concave_d2x=-0-002
Class1,P1,Class1_example_0077,3.0,0.01910684144877417,3.0000608446146804,3.0000608446146804,1,31,[34],300,189,concave_d2x=-0-002
Class1,P1,Class1_example_0078,2.0,0.005489148324402504,2.0000075326731466,2.0000075326731466,1,33,[35],300,189,concave_d2x=-0-002
Class1,P1,Class1_example_0079,5.0,0.03977174915215631,5.000158176701075,5.000158176701075,1,29,[34],300,189,concave_d2x=-0-002
Class1,P1,Class1_example_0080,5.0,0.04121103549569649,5.00016983206037,5.00016983206037,1,28,[33],300,189,concave_d2x=-0-002
Class1,P1,Class1_example_0081,4.0,0.029718034563923412,4.000110393673948,4.000110393673948,1,26,[30],300,189,concave_d2x=-0-002
Class1,P1,Class1_example_0082,3.0,0.011464068722379372,3.000021904065314,3.000021904065314,1,33,[36],300,189,concave_d2x=-0-002
Class1,P1,Class1_example_0083,4.0,0.03271249483416372,4.000133761178278,4.000133761178278,1,31,[35],300,189,concave_d2x=-0-002
Class1,P1,Class1_example_0084,4.0,0.025183930895234297,4.000079278011292,4.000079278011292,1,31,[35],300,189,concave_d2x=-0-002
Class1,P1,Class1_example_0085,6.0,0.050784647785099724,6.000214919521688,6.000214919521688,1,28,[34],300,189,concave_d2x=-0-002
Class1,P1,Class1_example_0086,4.0,0.0350314315210114,4.0001533972079635,4.0001533972079635,1,30,[34],300,189,concave_d2x=-0-002
Class1,P1,Class1_example_0087,2.0,0.0063621454920334,2.000010119198216,2.000010119198216,1,50,[52],300,189,concave_d2x=-0-002
Class1,P1,Class1_example_0088,,,,,0,40,[],300,189,concave_d2x=-0-002
Class1,P1,Class1_example_0089,2.0,0.00425710863137907,2.0000045307383427,2.0000045307383427,1,44,[46],300,189,concave_d2x=-0-002
Class1,P1,Class1_example_0090,3.0,0.01650106731839185,3.000045380527209,3.000045380527209,1,34,[37],300,189,concave_d2x=-0-002
Class1,P1,Class1_example_0091,3.0,0.01236952742656261,3.0000255007597447,3.0000255007597447,1,38,[41],300,189,concave_d2x=-0-002
Class1,P1,Class1_example_0092,4.0,0.03295908824935012,4.00013578538257,4.00013578538257,1,32,[36],300,189,concave_d2x=-0-002
Class1,P1,Class1_example_0093,4.0,0.030342416140888062,4.0001150811217006,4.0001150811217006,1,31,[35],300,189,concave_d2x=-0-002
Class1,P1,Class1_example_0094,,,,,0,21,[],300,189,concave_d2x=-0-002
Class1,P1,Class1_example_0095,,,,,0,26,[],300,189,concave_d2x=-0-002
Class1,P1,Class1_example_0096,,,,,0,70,[],300,189,concave_d2x=-0-002
Class1,P1,Class1_example_0097,3.0,0.020322440533378172,3.000068832808546,3.000068832808546,1,51,[54],300,189,concave_d2x=-0-002
Class1,P1,Class1_example_0098,4.0,0.023764279940637123,4.000070592002233,4.000070592002233,1,57,[61],300,189,concave_d2x=-0-002
Class1,P1,Class1_example_0099,1.0,0.0011381371961894926,1.0000006476779288,1.0000006476779288,1,31,[32],300,189,concave_d2x=-0-002
Class1,P1,Class1_example_0100,2.0,0.007532987231293475,2.000014186423843,2.000014186423843,1,32,[34],300,189,concave_d2x=-0-002
