Class,Peak,File,Mean_X_Error,Mean_Y_Error,Mean_XY_Error,Min_XY_Error,Peak_Count,Reference_Peaks,Detected_Peaks,Num_Signals_in_Class,Num_Signals_with_Peak,Method
Class1,P1,Class1_example_0001,0.0,0.0,0.0,0.0,1,31,[31],300,281,concave_d2x=0-002
Class1,P1,Class1_example_0002,0.0,0.0,0.0,0.0,1,31,[31],300,281,concave_d2x=0-002
Class1,P1,Class1_example_0003,0.0,0.0,0.0,0.0,1,33,[33],300,281,concave_d2x=0-002
Class1,P1,Class1_example_0004,0.0,0.0,0.0,0.0,1,38,[38],300,281,concave_d2x=0-002
Class1,P1,Class1_example_0005,0.0,0.0,0.0,0.0,1,38,[38],300,281,concave_d2x=0-002
Class1,P1,Class1_example_0006,0.0,0.0,0.0,0.0,1,25,[25],300,281,concave_d2x=0-002
Class1,P1,Class1_example_0007,0.0,0.0,0.0,0.0,1,31,[31],300,281,concave_d2x=0-002
Class1,P1,Class1_example_0008,1.0,0.00020558039241092008,1.0000000211316487,1.0000000211316487,1,31,[32],300,281,concave_d2x=0-002
Class1,P1,Class1_example_0009,0.0,0.0,0.0,0.0,1,37,[37],300,281,concave_d2x=0-002
Class1,P1,Class1_example_0010,1.0,0.0007576105622616458,1.000000286986841,1.000000286986841,1,29,[28],300,281,concave_d2x=0-002
Class1,P1,Class1_example_0011,1.0,0.000505740753079964,1.0000001278868464,1.0000001278868464,1,28,[29],300,281,concave_d2x=0-002
Class1,P1,Class1_example_0012,0.0,0.0,0.0,0.0,1,29,[29],300,281,concave_d2x=0-002
Class1,P1,Class1_example_0013,0.0,0.0,0.0,0.0,1,38,[38],300,281,concave_d2x=0-002
Class1,P1,Class1_example_0014,0.0,0.0,0.0,0.0,1,35,[35],300,281,concave_d2x=0-002
Class1,P1,Class1_example_0015,0.0,0.0,0.0,0.0,1,32,[32],300,281,concave_d2x=0-002
Class1,P1,Class1_example_0016,0.0,0.0,0.0,0.0,1,33,[33],300,281,concave_d2x=0-002
Class1,P1,Class1_example_0017,0.0,0.0,0.0,0.0,1,32,[32],300,281,concave_d2x=0-002
Class1,P1,Class1_example_0018,0.0,0.0,0.0,0.0,1,30,[30],300,281,concave_d2x=0-002
Class1,P1,Class1_example_0019,1.0,0.0013096803707212112,1.000000857630969,1.000000857630969,1,25,[26],300,281,concave_d2x=0-002
Class1,P1,Class1_example_0020,0.0,0.0,0.0,0.0,1,21,[21],300,281,concave_d2x=0-002
Class1,P1,Class1_example_0021,0.0,0.0,0.0,0.0,1,21,[21],300,281,concave_d2x=0-002
Class1,P1,Class1_example_0022,0.0,0.0,0.0,0.0,1,22,[22],300,281,concave_d2x=0-002
Class1,P1,Class1_example_0023,0.0,0.0,0.0,0.0,1,37,[37],300,281,concave_d2x=0-002
Class1,P1,Class1_example_0024,0.0,0.0,0.0,0.0,1,44,[44],300,281,concave_d2x=0-002
Class1,P1,Class1_example_0025,0.0,0.0,0.0,0.0,1,38,[38],300,281,concave_d2x=0-002
Class1,P1,Class1_example_0026,0.0,0.0,0.0,0.0,1,39,[39],300,281,concave_d2x=0-002
Class1,P1,Class1_example_0027,1.0,0.002348427675838427,1.0000027575524724,1.0000027575524724,1,31,[32],300,281,concave_d2x=0-002
Class1,P1,Class1_example_0028,0.0,0.0,0.0,0.0,1,31,[31],300,281,concave_d2x=0-002
Class1,P1,Class1_example_0029,0.0,0.0,0.0,0.0,1,39,[39],300,281,concave_d2x=0-002
Class1,P1,Class1_example_0030,0.0,0.0,0.0,0.0,1,25,[25],300,281,concave_d2x=0-002
Class1,P1,Class1_example_0031,0.0,0.0,0.0,0.0,1,33,[33],300,281,concave_d2x=0-002
Class1,P1,Class1_example_0032,0.0,0.0,0.0,0.0,1,25,[25],300,281,concave_d2x=0-002
Class1,P1,Class1_example_0033,0.0,0.0,0.0,0.0,1,26,[26],300,281,concave_d2x=0-002
Class1,P1,Class1_example_0034,1.0,0.0003354082214127585,1.0000000562493359,1.0000000562493359,1,39,[38],300,281,concave_d2x=0-002
