Class,Peak,File,Mean_X_Error,Mean_Y_Error,Mean_XY_Error,Min_XY_Error,TP,FP,FN,Peak_Count,Reference_Peaks,Detected_Peaks,%_Signals_with_Peak,Method
Class1,P1,Class1_example_0001,2.0,0.007953569398238658,2.0000158147540166,2.0000158147540166,1.0,0.0,0.0,1,31,[33],0.7633333333333333,concave_tuned
Class1,P1,Class1_example_0002,2.0,0.007036560914127188,2.0000123782590693,2.0000123782590693,1.0,0.0,0.0,1,31,[33],0.7633333333333333,concave_tuned
Class1,P1,Class1_example_0003,1.0,0.00368469619026357,1.0000067884699657,1.0000067884699657,1.0,0.0,0.0,1,33,[34],0.7633333333333333,concave_tuned
Class1,P1,Class1_example_0004,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1,38,[38],0.7633333333333333,concave_tuned
Class1,P1,Class1_example_0005,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1,38,[38],0.7633333333333333,concave_tuned
Class1,P1,Class1_example_0006,2.0,0.010541015651401975,2.0000277780598354,2.0000277780598354,1.0,0.0,0.0,1,25,[27],0.7633333333333333,concave_tuned
Class1,P1,Class1_example_0007,1.0,0.0024462487409534495,1.000002992061975,1.000002992061975,1.0,0.0,0.0,1,31,[32],0.7633333333333333,concave_tuned
Class1,P1,Class1_example_0008,1.0,0.00020558039241092008,1.0000000211316487,1.0000000211316487,1.0,0.0,0.0,1,31,[32],0.7633333333333333,concave_tuned
Class1,P1,Class1_example_0009,1.0,0.006409281763077201,1.000020539235429,1.000020539235429,1.0,0.0,0.0,1,37,[38],0.7633333333333333,concave_tuned
Class1,P1,Class1_example_0010,2.0,0.017366620690114187,2.0000753984573167,2.0000753984573167,1.0,0.0,0.0,1,29,[31],0.7633333333333333,concave_tuned
Class1,P1,Class1_example_0011,3.0,0.01566465963941166,3.0000408966481804,3.0000408966481804,1.0,0.0,0.0,1,28,[31],0.7633333333333333,concave_tuned
Class1,P1,Class1_example_0012,1.0,0.004859693336540349,1.0000118082399454,1.0000118082399454,1.0,0.0,0.0,1,29,[30],0.7633333333333333,concave_tuned
Class1,P1,Class1_example_0013,,,,,,,1.0,0,38,[],0.7633333333333333,concave_tuned
Class1,P1,Class1_example_0014,1.0,0.003127303457091002,1.0000048900015004,1.0000048900015004,1.0,0.0,0.0,1,35,[36],0.7633333333333333,concave_tuned
Class1,P1,Class1_example_0015,1.0,0.00039105284018980946,1.000000076461159,1.000000076461159,1.0,0.0,0.0,1,32,[33],0.7633333333333333,concave_tuned
Class1,P1,Class1_example_0016,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1,33,[33],0.7633333333333333,concave_tuned
Class1,P1,Class1_example_0017,1.0,0.00380967898522222,1.0000072568006546,1.0000072568006546,1.0,0.0,0.0,1,32,[33],0.7633333333333333,concave_tuned
Class1,P1,Class1_example_0018,1.0,0.00694650428024679,1.0000241266698096,1.0000241266698096,1.0,0.0,0.0,1,30,[31],0.7633333333333333,concave_tuned
Class1,P1,Class1_example_0019,3.0,0.01379261953875488,3.0000317058914128,3.0000317058914128,1.0,0.0,0.0,1,25,[28],0.7633333333333333,concave_tuned
Class1,P1,Class1_example_0020,,,,,,,1.0,0,21,[],0.7633333333333333,concave_tuned
Class1,P1,Class1_example_0021,,,,,,,1.0,0,21,[],0.7633333333333333,concave_tuned
Class1,P1,Class1_example_0022,,,,,,,1.0,0,22,[],0.7633333333333333,concave_tuned
Class1,P1,Class1_example_0023,1.0,0.005296550544844236,1.0000140266254638,1.0000140266254638,1.0,0.0,0.0,1,37,[38],0.7633333333333333,concave_tuned
Class1,P1,Class1_example_0024,1.0,0.0017795103479599783,1.0000015833272857,1.0000015833272857,1.0,0.0,0.0,1,44,[45],0.7633333333333333,concave_tuned
Class1,P1,Class1_example_0025,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1,38,[38],0.7633333333333333,concave_tuned
Class1,P1,Class1_example_0026,1.0,0.00439223848280601,1.000009645832924,1.000009645832924,1.0,0.0,0.0,1,39,[40],0.7633333333333333,concave_tuned
Class1,P1,Class1_example_0027,2.0,7.383956524775748e-05,2.00000000136307,2.00000000136307,1.0,0.0,0.0,1,31,[33],0.7633333333333333,concave_tuned
Class1,P1,Class1_example_0028,2.0,0.008153324532056416,2.000016619106183,2.000016619106183,1.0,0.0,0.0,1,31,[33],0.7633333333333333,concave_tuned
Class1,P1,Class1_example_0029,1.0,0.0014432607465399983,1.000001041500249,1.000001041500249,1.0,0.0,0.0,1,39,[40],0.7633333333333333,concave_tuned
Class1,P1,Class1_example_0030,,,,,,,1.0,0,25,[],0.7633333333333333,concave_tuned
Class1,P1,Class1_example_0031,1.0,0.006396779132396224,1.0000204591823452,1.0000204591823452,1.0,0.0,0.0,1,33,[34],0.7633333333333333,concave_tuned
Class1,P1,Class1_example_0032,2.0,0.009922396281608181,2.000024613335538,2.000024613335538,1.0,0.0,0.0,1,25,[27],0.7633333333333333,concave_tuned
Class1,P1,Class1_example_0033,1.0,0.005650141066644743,1.000015961919645,1.000015961919645,1.0,0.0,0.0,1,26,[27],0.7633333333333333,concave_tuned
Class1,P1,Class1_example_0034,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1,39,[39],0.7633333333333333,concave_tuned
Class1,P1,Class1_example_0035,2.0,0.004548719762177744,2.0000051727061794,2.0000051727061794,1.0,0.0,0.0,1,32,[34],0.7633333333333333,concave_tuned
Class1,P1,Class1_example_0036,1.0,0.0009753494130486651,1.0000004756531258,1.0000004756531258,1.0,0.0,0.0,1,36,[37],0.7633333333333333,concave_tuned
Class1,P1,Class1_example_0037,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1,37,[37],0.7633333333333333,concave_tuned
Class1,P1,Class1_example_0038,1.0,0.00454533969301707,1.000010330003108,1.000010330003108,1.0,0.0,0.0,1,31,[32],0.7633333333333333,concave_tuned
Class1,P1,Class1_example_0039,,,,,,,1.0,0,25,[],0.7633333333333333,concave_tuned
Class1,P1,Class1_example_0040,1.0,0.0018543937744406325,1.0000017193866573,1.0000017193866573,1.0,0.0,0.0,1,37,[38],0.7633333333333333,concave_tuned
Class1,P1,Class1_example_0041,1.0,0.004252699303927243,1.0000090426847996,1.0000090426847996,1.0,0.0,0.0,1,36,[37],0.7633333333333333,concave_tuned
Class1,P1,Class1_example_0042,1.0,0.0025440739051549865,1.0000032361507811,1.0000032361507811,1.0,0.0,0.0,1,36,[37],0.7633333333333333,concave_tuned
Class1,P1,Class1_example_0043,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1,35,[35],0.7633333333333333,concave_tuned
Class1,P1,Class1_example_0044,1.0,0.002171887406440476,1.0000023585446718,1.0000023585446718,1.0,0.0,0.0,1,35,[36],0.7633333333333333,concave_tuned
Class1,P1,Class1_example_0045,1.0,0.0021823423470208603,1.0000023813062244,1.0000023813062244,1.0,0.0,0.0,1,41,[42],0.7633333333333333,concave_tuned
Class1,P1,Class1_example_0046,2.0,0.007020923031620385,2.000012323302088,2.000012323302088,1.0,0.0,0.0,1,34,[36],0.7633333333333333,concave_tuned
Class1,P1,Class1_example_0047,1.0,0.0002964770929277938,1.0000000439493324,1.0000000439493324,1.0,0.0,0.0,1,37,[38],0.7633333333333333,concave_tuned
Class1,P1,Class1_example_0048,,,,,,,1.0,0,23,[],0.7633333333333333,concave_tuned
Class1,P1,Class1_example_0049,1.0,0.0014276328077635903,1.0000010190671977,1.0000010190671977,1.0,0.0,0.0,1,36,[37],0.7633333333333333,concave_tuned
Class1,P1,Class1_example_0050,1.0,0.002295182268849949,1.000002633927355,1.000002633927355,1.0,0.0,0.0,1,42,[43],0.7633333333333333,concave_tuned
Class1,P1,Class1_example_0051,2.0,0.009898711330526222,2.000024495971488,2.000024495971488,1.0,0.0,0.0,1,29,[31],0.7633333333333333,concave_tuned
